date,state,district,pincode,bio_age_5_17,bio_age_17_
01-04-2025,Karnataka,Bangalore,560026,215,594
01-04-2025,Uttar Pradesh,Bareilly,243122,1175,501
01-04-2025,Uttar Pradesh,Ghazipur,233227,1109,384
01-04-2025,Uttar Pradesh,Saharanpur,247231,566,377
01-04-2025,Uttar Pradesh,Sant Kabir Nagar,272125,1275,532
01-04-2025,Arunachal Pradesh,Tirap,792130,77,27
01-04-2025,West Bengal,North 24 Parganas,743165,73,158
01-04-2025,Tamil Nadu,Thanjavur,612703,34,127
01-04-2025,Jammu and Kashmir,Badgam,193411,156,342
01-04-2025,Telangana,Mahabubnagar,509135,114,60
01-04-2025,Andhra Pradesh,Prakasam,523166,182,65
01-04-2025,Odisha,Baleswar,756045,412,298
01-04-2025,Rajasthan,Jalor,307515,83,226
01-04-2025,Tamil Nadu,Coimbatore,641407,34,84
01-04-2025,Kerala,Pathanamthitta,689625,27,26
01-04-2025,Karnataka,Chikkamagaluru,577126,32,33
01-04-2025,Tamil Nadu,Salem,637304,37,30
01-04-2025,Assam,Hojai,782439,224,113
01-04-2025,Uttar Pradesh,Ballia,277219,108,76
01-04-2025,Odisha,Sundargarh,770017,30,73
01-04-2025,Tamil Nadu,Dindigul,624307,64,124
01-04-2025,Andhra Pradesh,Khammam,507304,11,20
01-04-2025,Rajasthan,Bikaner,334804,185,239
01-04-2025,Bihar,Sheohar,843128,363,453
01-04-2025,Punjab,Ferozepur,142043,56,78
01-04-2025,Madhya Pradesh,Chhatarpur,471515,1232,721
01-04-2025,Andhra Pradesh,West Godavari,534001,835,302
01-04-2025,Jharkhand,Hazaribagh,825406,900,669
01-04-2025,Uttar Pradesh,Gonda,271312,1228,450
01-04-2025,Kerala,Ernakulam,682024,91,190
01-04-2025,Uttar Pradesh,Jaunpur,223104,289,255
01-04-2025,Bihar,Madhepura,852114,467,590
01-04-2025,Maharashtra,Thane,401107,833,1678
01-04-2025,Karnataka,Bidar,585403,310,423
01-04-2025,Gujarat,Bharuch,393001,500,600
01-04-2025,Maharashtra,Ratnagiri,415202,11,17
01-04-2025,Gujarat,Narmada,393140,77,106
01-04-2025,Uttar Pradesh,Kannauj,209728,402,279
01-04-2025,West Bengal,South Twenty Four Parganas,743329,24,78
01-04-2025,Bihar,Nalanda,803111,288,300
01-04-2025,West Bengal,Darjeeling,735231,16,48
01-04-2025,Telangana,Kamareddy,503123,17,22
01-04-2025,Goa,North Goa,403507,239,270
01-04-2025,Uttar Pradesh,Kanpur Nagar,208003,188,162
01-04-2025,Telangana,Suryapet,508206,107,270
01-04-2025,Kerala,Pathanamthitta,689662,51,58
01-04-2025,Uttar Pradesh,Rae Bareli,229208,140,60
01-04-2025,West Bengal,Hooghly,712302,134,139
01-04-2025,Maharashtra,Satara,415508,270,310
01-04-2025,Bihar,Arwal,824235,16,35
01-04-2025,Gujarat,Dohad,389170,19,156
01-04-2025,Kerala,Kozhikode,673504,78,61
01-04-2025,Tamil Nadu,Cuddalore,607112,24,45
01-04-2025,Tamil Nadu,Pudukkottai,622203,223,335
01-04-2025,Maharashtra,Raigarh,402209,76,58
01-04-2025,Bihar,Rohtas,821304,304,323
01-04-2025,Karnataka,Dakshina Kannada,575007,39,73
01-04-2025,Karnataka,Vijayapura,586111,31,20
01-04-2025,Andhra Pradesh,Rangareddi,501359,21,97
01-04-2025,Uttar Pradesh,Jaunpur,222181,168,67
01-04-2025,Telangana,Medchal-malkajgiri,501401,32,37
01-04-2025,Gujarat,Chhotaudepur,391130,45,30
01-04-2025,Orissa,Khordha,751006,20,105
01-04-2025,Himachal Pradesh,Chamba,176323,34,118
01-04-2025,Bihar,Siwan,841504,131,165
01-04-2025,Karnataka,Uttara Kannada,581306,23,20
01-04-2025,West Bengal,Jalpaiguri,735224,190,216
01-04-2025,Punjab,Shaheed Bhagat Singh Nagar,144513,20,34
01-04-2025,West Bengal,North 24 Parganas,743134,13,16
01-04-2025,Bihar,Muzaffarpur,843139,18,11
01-04-2025,Kerala,Pathanamthitta,689108,13,22
01-04-2025,Bihar,Sheikhpura,811101,520,609
01-04-2025,Bihar,Kaimur (Bhabua),821103,507,326
01-04-2025,Gujarat,Anand,388350,207,221
01-04-2025,Jharkhand,Bokaro,828403,271,204
01-04-2025,Karnataka,Ballari,583212,83,19
01-04-2025,West Bengal,Bankura,722205,183,227
01-04-2025,Tamil Nadu,Tiruppur,638701,386,302
01-04-2025,Madhya Pradesh,Khargone,451001,1828,1068
01-04-2025,Kerala,Kottayam,686522,14,17
01-04-2025,West Bengal,South 24 Parganas,700008,31,56
01-04-2025,West Bengal,North 24 Parganas,743245,136,144
01-04-2025,Jharkhand,Giridih,825167,409,420
01-04-2025,Puducherry,Puducherry,605008,98,127
01-04-2025,Andhra Pradesh,Guntur,522421,637,105
01-04-2025,Andhra Pradesh,Rangareddi,501141,21,62
01-04-2025,Chhattisgarh,Baloda Bazar,493113,65,329
01-04-2025,Uttarakhand,Dehradun,248171,217,302
01-04-2025,Rajasthan,Nagaur,341302,99,124
01-04-2025,Karnataka,Bengaluru,560036,314,192
01-04-2025,Maharashtra,Ahmadnagar,414304,93,205
01-04-2025,Maharashtra,Thane,421602,97,200
01-04-2025,Bihar,Supaul,852105,450,504
01-04-2025,Bihar,Siwan,841238,348,379
01-04-2025,West Bengal,South Twenty Four Parganas,743332,11,46
01-04-2025,Madhya Pradesh,Guna,473331,30,82
01-04-2025,Maharashtra,Palghar,401204,36,20
01-04-2025,West Bengal,Hooghly,712232,56,99
01-04-2025,Andhra Pradesh,Cuddapah,516213,176,49
01-04-2025,Gujarat,Anand,388120,30,56
01-04-2025,Himachal Pradesh,Bilaspur,174024,16,41
01-04-2025,Jharkhand,Ramgarh,829102,152,93
01-04-2025,Assam,Dibrugarh,786006,13,24
01-04-2025,Kerala,Kozhikode,673528,29,62
01-04-2025,Andhra Pradesh,Palnadu,522615,33,27
01-04-2025,Himachal Pradesh,Kangra,176092,35,18
01-04-2025,Orissa,Dhenkanal,759018,15,15
01-04-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,524344,19,13
01-04-2025,Punjab,Jalandhar,144805,31,43
01-04-2025,Jharkhand,Khunti,835221,42,80
01-04-2025,Tamil Nadu,Thoothukkudi,628503,11,25
01-04-2025,West Bengal,Barddhaman,713432,10,19
01-04-2025,Gujarat,Patan,384130,16,18
01-04-2025,Haryana,Rewari,122414,22,16
01-04-2025,Madhya Pradesh,Indore,452005,490,425
01-04-2025,Himachal Pradesh,Kangra,176214,28,37
01-04-2025,Tamil Nadu,Cuddalore,608303,134,160
01-04-2025,Karnataka,Mysuru,570016,158,147
01-04-2025,Andhra Pradesh,Rangareddi,500018,130,509
01-04-2025,Karnataka,Belgaum,591114,109,134
01-04-2025,Telangana,Medak,502331,50,78
01-04-2025,Odisha,Nabarangapur,764059,333,491
01-04-2025,Uttar Pradesh,Hardoi,241402,565,236
01-04-2025,Bihar,Sitamarhi,843318,331,385
01-04-2025,Punjab,Kapurthala,144401,409,1048
01-04-2025,Bihar,Madhubani,847234,537,443
01-04-2025,Odisha,Ganjam,760004,25,28
01-04-2025,Rajasthan,Kota,326530,42,51
01-04-2025,Telangana,Kamareddy,503145,30,26
01-04-2025,Rajasthan,Bundi,323603,167,267
01-04-2025,Bihar,Samastipur,848102,266,191
01-04-2025,Bihar,East Champaran,845420,507,343
01-04-2025,West Bengal,North 24 Parganas,743405,25,26
01-04-2025,Telangana,Hyderabad,500081,17,17
01-04-2025,Telangana,Peddapalli,505184,23,45
01-04-2025,Kerala,Kannur,670675,47,65
01-04-2025,Tamil Nadu,Tiruchirappalli,621216,56,150
01-04-2025,Maharashtra,Parbhani,431508,90,116
01-04-2025,Andhra Pradesh,Krishna,521312,92,116
01-04-2025,Uttar Pradesh,Ayodhya,224141,20,19
01-04-2025,Assam,Udalguri,784507,91,48
01-04-2025,Maharashtra,Sindhudurg,416608,13,41
01-04-2025,Karnataka,Belagavi,591238,23,23
01-04-2025,Maharashtra,Sangli,415409,205,467
01-04-2025,Delhi,South West Delhi,110043,2801,2893
01-04-2025,Odisha,Sundergarh,770076,28,29
01-04-2025,Uttar Pradesh,Allahabad,212302,634,127
01-04-2025,Karnataka,Chikkaballapur,561212,69,99
01-04-2025,Madhya Pradesh,Ashok Nagar,473331,1642,692
01-04-2025,Chhattisgarh,Jashpur,496330,85,487
01-04-2025,Kerala,Alappuzha,690515,78,71
01-04-2025,Kerala,Palakkad,678009,44,37
01-04-2025,Rajasthan,Jhalawar,326516,39,61
01-04-2025,Madhya Pradesh,Ujjain,456224,876,531
01-04-2025,Andhra Pradesh,Prakasam,523286,297,88
01-04-2025,Uttar Pradesh,Kanpur Dehat,209306,742,246
01-04-2025,Karnataka,Gulbarga,585211,46,167
01-04-2025,West Bengal,East Midnapore,721455,11,23
01-04-2025,Kerala,Malappuram,679328,131,97
01-04-2025,Bihar,Muzaffarpur,843103,1037,788
01-04-2025,Maharashtra,Sangli,416407,55,120
01-04-2025,Kerala,Kollam,690573,89,123
01-04-2025,Karnataka,Shivamogga,577428,119,56
01-04-2025,Gujarat,Kheda,387570,88,62
01-04-2025,Odisha,Sundergarh,770072,24,56
01-04-2025,Maharashtra,Akola,444103,108,433
01-04-2025,Punjab,Gurdaspur,143506,67,110
01-04-2025,Gujarat,Mahesana,384212,58,68
01-04-2025,Karnataka,Kodagu,571201,134,157
01-04-2025,Tamil Nadu,Cuddalore,607205,47,79
01-04-2025,Andhra Pradesh,Cuddapah,516444,148,26
01-04-2025,Karnataka,Chitradurga,577558,41,25
01-04-2025,Maharashtra,Ahmadnagar,414305,26,56
01-04-2025,Assam,Lakhimpur,784165,52,26
01-04-2025,Madhya Pradesh,Indore,452018,137,154
01-04-2025,Uttarakhand,Udham Singh Nagar,262311,215,287
01-04-2025,Uttarakhand,Tehri Garhwal,249137,58,73
01-04-2025,Uttarakhand,Rudraprayag,246429,26,34
01-04-2025,Telangana,Kamareddy,503101,14,28
01-04-2025,Bihar,Patna,801507,64,30
01-04-2025,Assam,Baksa,781373,69,15
01-04-2025,Andhra Pradesh,Kurnool,518501,2612,613
01-04-2025,Madhya Pradesh,Alirajpur,457893,1044,647
01-04-2025,Telangana,Adilabad,504312,86,293
01-04-2025,Gujarat,Jamnagar,361002,133,127
01-04-2025,Maharashtra,Ahmadnagar,414102,250,595
01-04-2025,Andhra Pradesh,Guntur,522529,494,113
01-04-2025,Telangana,Medak,502276,42,32
01-04-2025,Rajasthan,Karauli,322241,431,392
01-04-2025,Tamil Nadu,Perambalur,621103,157,94
01-04-2025,Kerala,Idukki,685607,71,52
01-04-2025,Uttar Pradesh,Gonda,271602,448,196
01-04-2025,Madhya Pradesh,Betul,460663,320,293
01-04-2025,Kerala,Ernakulam,682315,55,99
01-04-2025,Himachal Pradesh,Hamirpur,177033,19,20
01-04-2025,Rajasthan,Jodhpur,342301,560,563
01-04-2025,Andhra Pradesh,Medak,502334,13,69
01-04-2025,Uttar Pradesh,Sambhal,244302,2112,620
01-04-2025,Telangana,Narayanpet,509353,17,22
01-04-2025,Himachal Pradesh,Solan,174103,89,60
01-04-2025,Bihar,Bhagalpur,813105,416,245
01-04-2025,Uttar Pradesh,Kanpur Nagar,208013,136,241
01-04-2025,Karnataka,Shivamogga,577203,105,60
01-04-2025,Maharashtra,Kolhapur,416221,217,172
01-04-2025,Kerala,Ernakulam,683587,35,35
01-04-2025,Andhra Pradesh,Ananthapur,515870,221,20
01-04-2025,Tamil Nadu,Coimbatore,641021,149,220
01-04-2025,Tamil Nadu,Perambalur,621219,63,56
01-04-2025,Kerala,Thrissur,680301,72,80
01-04-2025,Uttar Pradesh,Jaunpur,222131,202,134
01-04-2025,Tamil Nadu,Nagapattinam,611112,13,118
01-04-2025,Maharashtra,Raigarh,410220,20,53
01-04-2025,Rajasthan,Chittaurgarh,312001,11,58
01-04-2025,Punjab,Tarn Taran,143022,15,47
01-04-2025,Gujarat,Anand,388305,51,63
01-04-2025,Bihar,Bhojpur,802210,90,118
01-04-2025,Himachal Pradesh,Solan,173214,17,35
01-04-2025,Kerala,Thrissur,680524,19,17
01-04-2025,Gujarat,Kheda,387110,96,116
01-04-2025,Jharkhand,Palamau,822113,63,263
01-04-2025,Gujarat,Bhavnagar,364002,361,362
01-04-2025,Rajasthan,Sawai Madhopur,322026,56,83
01-04-2025,Odisha,Rayagada,765015,369,400
01-04-2025,Andhra Pradesh,Guntur,522408,169,36
01-04-2025,Madhya Pradesh,Indore,452014,61,100
01-04-2025,Karnataka,Bengaluru,560077,271,335
01-04-2025,Punjab,Fatehgarh Sahib,141411,60,121
01-04-2025,Maharashtra,Palghar,401604,92,250
01-04-2025,Jammu and Kashmir,Jammu,180002,149,330
01-04-2025,Rajasthan,Bundi,323616,55,81
01-04-2025,West Bengal,Paschim Medinipur,721436,54,75
01-04-2025,Jharkhand,Bokaro,827012,190,215
01-04-2025,Maharashtra,Sangli,415406,45,80
01-04-2025,Telangana,Karimnagar,505514,25,90
01-04-2025,Andhra Pradesh,East Godavari,533218,147,43
01-04-2025,Tamil Nadu,Vellore,631052,54,73
01-04-2025,Madhya Pradesh,Alirajpur,457885,155,147
01-04-2025,Gujarat,Kheda,387430,187,273
01-04-2025,Chhattisgarh,Rajnandgaon,491558,111,793
01-04-2025,Maharashtra,Solapur,413213,233,324
01-04-2025,Andhra Pradesh,Ananthapuramu,515766,463,27
01-04-2025,Madhya Pradesh,Khargone,451113,789,836
01-04-2025,Jharkhand,Hazaribagh,825411,385,341
01-04-2025,Uttar Pradesh,Etah,207122,457,80
01-04-2025,Bihar,Banka,814131,485,358
01-04-2025,Kerala,Thiruvananthapuram,695302,22,36
01-04-2025,Madhya Pradesh,Jabalpur,482011,95,75
01-04-2025,West Bengal,Puruliya,723151,111,144
01-04-2025,Andhra Pradesh,West Godavari,534327,76,32
01-04-2025,West Bengal,North 24 Parganas,743222,81,94
01-04-2025,Tamil Nadu,Kancheepuram,600125,103,144
01-04-2025,Rajasthan,Dausa,303507,92,171
01-04-2025,Karnataka,Mysore,570018,22,48
01-04-2025,Jammu and Kashmir,Rajouri,185203,68,87
01-04-2025,Tamil Nadu,Namakkal,637410,30,133
01-04-2025,Odisha,Sonapur,767062,269,156
01-04-2025,Kerala,Malappuram,679341,19,16
01-04-2025,Bihar,Bhojpur,802157,58,63
01-04-2025,Gujarat,Amreli,365650,85,92
01-04-2025,Karnataka,Bengaluru,560108,12,16
01-04-2025,Uttarakhand,Almora,263663,39,27
01-04-2025,Tamil Nadu,Coimbatore,642107,89,74
01-04-2025,Telangana,Vikarabad,501501,43,49
01-04-2025,Gujarat,Anand,388480,45,69
01-04-2025,Uttar Pradesh,Fatehpur,212662,33,32
01-04-2025,Assam,Kamrup Metro,781024,37,17
01-04-2025,Assam,Golaghat,785615,25,13
01-04-2025,Maharashtra,Pune,410511,42,58
01-04-2025,Uttar Pradesh,Chandauli,232104,828,321
01-04-2025,Madhya Pradesh,Bhopal,462043,277,263
01-04-2025,Kerala,Thiruvananthapuram,695561,61,55
01-04-2025,Gujarat,Gir Somnath,362265,262,201
01-04-2025,Bihar,Samastipur,848505,561,527
01-04-2025,Madhya Pradesh,Jabalpur,483113,430,283
01-04-2025,Karnataka,Bangalore,560001,33,123
01-04-2025,Punjab,Rupnagar,140112,48,90
01-04-2025,Rajasthan,Dausa,303503,320,365
01-04-2025,Maharashtra,Osmanabad,413508,127,258
01-04-2025,West Bengal,North 24 Parganas,743428,71,86
01-04-2025,Tamil Nadu,Coimbatore,641018,34,81
01-04-2025,Kerala,Kottayam,686537,15,17
01-04-2025,Kerala,Idukki,685619,73,80
01-04-2025,Telangana,Vikarabad,501142,38,28
01-04-2025,Bihar,Sitamarhi,843313,422,313
01-04-2025,Puducherry,Puducherry,605501,17,40
01-04-2025,West Bengal,Malda,732101,77,279
01-04-2025,West Bengal,Haora,711227,12,146
01-04-2025,West Bengal,Haora,711302,46,453
01-04-2025,Kerala,Ernakulam,683581,62,50
01-04-2025,Tamil Nadu,Tiruvannamalai,604601,114,99
01-04-2025,Madhya Pradesh,Agar Malwa,465230,92,76
01-04-2025,Tamil Nadu,Perambalur,621708,174,94
01-04-2025,Maharashtra,Sangli,415313,19,47
01-04-2025,Odisha,Dhenkanal,759128,20,57
01-04-2025,Maharashtra,Mumbai City,400016,139,80
01-04-2025,Kerala,Thiruvananthapuram,695610,17,18
01-04-2025,Tamil Nadu,Dindigul,624211,30,112
01-04-2025,Assam,Karimganj,788781,37,13
01-04-2025,Kerala,Pathanamthitta,689699,17,47
01-04-2025,Himachal Pradesh,Kinnaur,172110,15,19
01-04-2025,Uttar Pradesh,Mathura,281302,16,10
01-04-2025,Uttar Pradesh,Budaun,243601,1729,825
01-04-2025,Andhra Pradesh,Guntur,522438,416,107
01-04-2025,Bihar,Saran,841209,84,118
01-04-2025,Maharashtra,Thane,400604,583,1070
01-04-2025,Maharashtra,Mumbai,400009,72,195
01-04-2025,Karnataka,Yadgir,585321,298,364
01-04-2025,Uttar Pradesh,Bara Banki,225403,231,189
01-04-2025,Bihar,Madhubani,847121,295,238
01-04-2025,Kerala,Ernakulam,682018,36,74
01-04-2025,Uttar Pradesh,Lucknow,227111,546,280
01-04-2025,Karnataka,Raichur,584170,76,65
01-04-2025,Odisha,Nuapada,766106,271,341
