date,state,district,pincode,demo_age_5_17,demo_age_17_
01-04-2025,Karnataka,Bengaluru,560045,135,820
01-04-2025,Andhra Pradesh,Visakhapatnam,531163,46,445
01-04-2025,Jammu and Kashmir,Punch,185101,210,1411
01-04-2025,Madhya Pradesh,Raisen,464551,213,1030
01-04-2025,Haryana,Bhiwani,127030,19,135
01-04-2025,Madhya Pradesh,Satna,485446,219,1238
01-04-2025,Karnataka,Mandya,571434,28,282
01-04-2025,Tamil Nadu,Coimbatore,642002,33,330
01-04-2025,Haryana,Ambala,133201,45,230
01-04-2025,Rajasthan,Kota,325001,52,624
01-04-2025,Delhi,South West Delhi,110078,330,1736
01-04-2025,Uttar Pradesh,Gautam Buddha Nagar,203207,340,2370
01-04-2025,Punjab,SAS Nagar (Mohali),140507,46,645
01-04-2025,Delhi,South Delhi,110080,199,1040
01-04-2025,Gujarat,Surat,395017,119,876
01-04-2025,Tamil Nadu,Namakkal,638008,60,561
01-04-2025,Maharashtra,Buldhana,443301,37,490
01-04-2025,Gujarat,Valsad,396050,168,464
01-04-2025,West Bengal,Murshidabad,742122,46,597
01-04-2025,Punjab,Ludhiana,141008,204,2314
01-04-2025,Karnataka,Bagalkot,587301,141,574
01-04-2025,Jammu and Kashmir,Pulwama,192121,27,219
01-04-2025,Chandigarh,Chandigarh,160022,71,321
01-04-2025,Rajasthan,Jaipur,303007,30,373
01-04-2025,Madhya Pradesh,Sagar,470335,172,1256
01-04-2025,Andhra Pradesh,Srikakulam,532221,72,476
01-04-2025,West Bengal,Uttar Dinajpur,733156,139,1253
01-04-2025,Haryana,Rohtak,124501,41,202
01-04-2025,Madhya Pradesh,Chhindwara,480551,107,576
01-04-2025,West Bengal,South 24 Parganas,743502,155,2210
01-04-2025,Karnataka,Mysuru,570007,68,276
01-04-2025,Chhattisgarh,Jashpur,496118,160,707
01-04-2025,Karnataka,Bengaluru,560100,147,1174
01-04-2025,Tamil Nadu,Tiruvannamalai,606601,78,616
01-04-2025,Rajasthan,Bikaner,334401,37,291
01-04-2025,Jammu and Kashmir,Samba,184121,52,258
01-04-2025,Himachal Pradesh,Sirmaur,173027,130,253
01-04-2025,Haryana,Mahendragarh,123034,32,184
01-04-2025,Gujarat,Ahmedabad,380058,120,1089
01-04-2025,Haryana,Karnal,132157,14,94
01-04-2025,Haryana,Mahendragarh,123021,60,555
01-04-2025,Jammu and Kashmir,Anantnag,192211,75,340
01-04-2025,Mizoram,Serchhip,796181,76,238
01-04-2025,Chandigarh,Chandigarh,160036,400,1441
01-04-2025,Tamil Nadu,Kancheepuram,600045,53,502
01-04-2025,Maharashtra,Mumbai Suburban,400080,93,859
01-04-2025,Madhya Pradesh,Barwani,451666,514,2558
01-04-2025,Tamil Nadu,Tiruvallur,600037,69,577
01-04-2025,Tamil Nadu,Tiruppur,641652,68,570
01-04-2025,Chandigarh,Chandigarh,160015,76,223
01-04-2025,Haryana,Yamuna Nagar,135133,71,362
01-04-2025,Andhra Pradesh,Ananthapuramu,515401,57,109
01-04-2025,Andhra Pradesh,Srikakulam,532201,179,693
01-04-2025,West Bengal,South 24 Parganas,743349,124,1429
01-04-2025,Haryana,Gurgaon,122017,137,1049
01-04-2025,Karnataka,Bengaluru,560070,41,354
01-04-2025,Haryana,Mahendragarh,123029,65,569
01-04-2025,Karnataka,Mysuru,570023,33,212
01-04-2025,Karnataka,Kalaburagi,585105,51,201
01-04-2025,Uttarakhand,Pauri Garhwal,246149,91,999
01-04-2025,Andhra Pradesh,Nandyal,518501,84,474
01-04-2025,Haryana,Kurukshetra,136132,54,396
01-04-2025,Tamil Nadu,Chennai,600081,74,954
01-04-2025,Haryana,Faridabad,121101,77,555
01-04-2025,Haryana,Faridabad,121005,318,2000
01-04-2025,Karnataka,Shivamogga,577427,54,185
01-04-2025,Telangana,Nizamabad,503001,244,1293
01-04-2025,Punjab,SAS Nagar (Mohali),140603,169,1637
01-04-2025,Madhya Pradesh,Anuppur,484881,262,990
01-04-2025,Gujarat,Surat,395006,371,4784
01-04-2025,Maharashtra,Ratnagiri,415804,17,157
01-04-2025,Uttar Pradesh,Muzaffarnagar,251001,477,3116
01-04-2025,Chandigarh,Chandigarh,160047,370,1255
01-04-2025,Haryana,Fatehabad,125051,171,1188
01-04-2025,Madhya Pradesh,Chhindwara,480111,306,391
01-04-2025,Madhya Pradesh,Indore,452009,131,1067
01-04-2025,Chhattisgarh,Balod,491223,156,445
01-04-2025,Madhya Pradesh,Seoni,480884,70,563
01-04-2025,Maharashtra,Thane,421302,325,3750
01-04-2025,Haryana,Rohtak,124113,23,90
01-04-2025,Chhattisgarh,Durg,490011,135,392
01-04-2025,Haryana,Ambala,133001,201,1022
01-04-2025,Madhya Pradesh,Anuppur,484224,113,548
01-04-2025,Madhya Pradesh,Chhindwara,480115,277,630
01-04-2025,Himachal Pradesh,Hamirpur,177001,14,174
01-04-2025,Rajasthan,Jhunjhunun,333042,65,564
01-04-2025,Karnataka,Kalaburagi,585301,54,220
01-04-2025,Karnataka,Dakshina Kannada,574231,81,252
01-04-2025,Rajasthan,Hanumangarh,335512,89,1080
01-04-2025,Haryana,Sonipat,131029,66,297
01-04-2025,Delhi,West Delhi,110063,209,1922
01-04-2025,Haryana,Bhiwani,127031,25,138
01-04-2025,Haryana,Gurgaon,122002,135,1020
01-04-2025,Maharashtra,Beed,431122,232,2441
01-04-2025,Madhya Pradesh,Raisen,464668,92,587
01-04-2025,Rajasthan,Sikar,332301,69,868
01-04-2025,Gujarat,Ahmedabad,382350,307,2470
01-04-2025,Jammu and Kashmir,Kupwara,193225,103,554
01-04-2025,Haryana,Sirsa,125076,34,195
01-04-2025,Madhya Pradesh,Dhar,454552,193,784
01-04-2025,Maharashtra,Gondiya,441614,97,474
01-04-2025,Haryana,Yamuna Nagar,135002,36,224
01-04-2025,Delhi,North West Delhi,110034,642,3945
01-04-2025,Madhya Pradesh,Bhopal,462003,83,624
01-04-2025,Madhya Pradesh,Barwani,451551,415,3230
01-04-2025,Rajasthan,Tonk,304021,69,795
01-04-2025,Uttarakhand,Haridwar,249407,148,1142
01-04-2025,Karnataka,Chikkaballapur,563125,130,828
01-04-2025,Rajasthan,Jodhpur,342006,42,472
01-04-2025,Madhya Pradesh,Mandla,481996,261,744
01-04-2025,Haryana,Jind,126102,258,1441
01-04-2025,Maharashtra,Pune,411046,119,1160
01-04-2025,Maharashtra,Nandurbar,425412,85,961
01-04-2025,Andhra Pradesh,Guntur,522201,84,874
01-04-2025,West Bengal,Puruliya,723127,66,681
01-04-2025,Telangana,Adilabad,504001,184,1155
01-04-2025,Andhra Pradesh,Kurnool,518345,32,214
01-04-2025,Haryana,Faridabad,121006,98,534
01-04-2025,Haryana,Palwal,121105,80,651
01-04-2025,Karnataka,Dharwad,580030,237,487
01-04-2025,Uttar Pradesh,Lucknow,226016,161,1314
01-04-2025,Andhra Pradesh,Y. S. R,516003,88,344
01-04-2025,Uttar Pradesh,Aligarh,202001,977,9397
01-04-2025,Andhra Pradesh,Annamayya,517325,157,853
01-04-2025,Maharashtra,Gadchiroli,441209,47,224
01-04-2025,Haryana,Rohtak,124514,38,183
01-04-2025,Madhya Pradesh,Dindori,481880,212,1129
01-04-2025,Tamil Nadu,Madurai,625106,61,457
01-04-2025,Haryana,Bhiwani,127040,51,235
01-04-2025,Maharashtra,Raigad,410208,34,531
01-04-2025,Madhya Pradesh,Ujjain,456010,281,1354
01-04-2025,Uttar Pradesh,Ghaziabad,201009,316,2324
01-04-2025,Rajasthan,Churu,331304,74,816
01-04-2025,Haryana,Sirsa,125102,69,467
01-04-2025,Karnataka,Dharwad,580024,247,815
01-04-2025,Delhi,North Delhi,110006,300,2599
01-04-2025,Tamil Nadu,Thanjavur,612001,60,574
01-04-2025,Rajasthan,Alwar,301404,110,900
01-04-2025,Jammu and Kashmir,Baramula,193121,84,738
01-04-2025,Madhya Pradesh,Chhindwara,480334,85,382
01-04-2025,Rajasthan,Jhunjhunun,333023,37,259
01-04-2025,Madhya Pradesh,Ujjain,456006,232,1370
01-04-2025,Rajasthan,Jaipur,302039,155,1000
01-04-2025,Uttar Pradesh,Etawah,206001,312,2134
01-04-2025,Uttar Pradesh,Gautam Buddha Nagar,201306,359,2953
01-04-2025,Maharashtra,Mumbai Suburban,400070,137,842
01-04-2025,Haryana,Faridabad,121004,1045,5354
01-04-2025,Madhya Pradesh,Satna,485441,61,313
01-04-2025,Rajasthan,Udaipur,313011,48,506
01-04-2025,West Bengal,Puruliya,723154,18,209
01-04-2025,Delhi,West Delhi,110059,1780,14314
01-04-2025,Uttar Pradesh,Pilibhit,262001,472,5201
01-04-2025,Uttarakhand,Udham Singh Nagar,262401,291,1519
01-04-2025,Jammu and Kashmir,Anantnag,192124,61,448
01-04-2025,Madhya Pradesh,Mandla,481995,312,1126
01-04-2025,Chhattisgarh,Korba,495677,91,901
01-04-2025,Delhi,North East Delhi,110094,2690,9668
01-04-2025,Karnataka,Kolar,563101,191,1113
01-04-2025,Chhattisgarh,Surguja,497111,94,916
01-04-2025,Andhra Pradesh,Kurnool,518001,144,875
01-04-2025,Madhya Pradesh,Indore,452010,302,2031
01-04-2025,Andhra Pradesh,East Godavari,533101,190,1665
01-04-2025,Rajasthan,Jodhpur,342602,25,309
01-04-2025,West Bengal,Birbhum,731234,60,894
01-04-2025,Rajasthan,Sirohi,307026,120,1156
01-04-2025,Haryana,Sirsa,125060,42,257
01-04-2025,Uttarakhand,Nainital,263139,591,3166
01-04-2025,Maharashtra,Pune,411057,107,1169
01-04-2025,Karnataka,Bangalore Rural,562110,81,759
01-04-2025,Rajasthan,Kota,324005,220,1284
01-04-2025,Tamil Nadu,Karur,639002,44,472
01-04-2025,Chhattisgarh,Baloda Bazar,493118,63,1784
01-04-2025,Delhi,South West Delhi,110045,520,4935
01-04-2025,Rajasthan,Barmer,344001,237,1507
01-04-2025,West Bengal,South 24 Parganas,743312,92,964
01-04-2025,Chhattisgarh,Durg,491001,451,2075
01-04-2025,Karnataka,Yadgir,585202,187,433
01-04-2025,Tamil Nadu,Chennai,600015,48,527
01-04-2025,Rajasthan,Nagaur,341509,77,604
01-04-2025,Mizoram,Lawngtlai,796891,31,372
01-04-2025,Maharashtra,Nagpur,440023,69,704
01-04-2025,Gujarat,Ahmedabad,382330,243,2333
01-04-2025,Andhra Pradesh,Guntur,522003,103,710
01-04-2025,Haryana,Hisar,125044,58,272
01-04-2025,Haryana,Yamuna Nagar,133103,52,355
01-04-2025,Rajasthan,Churu,331001,132,930
01-04-2025,Rajasthan,Bikaner,334001,269,2369
01-04-2025,Delhi,South Delhi,110025,442,3181
01-04-2025,Delhi,West Delhi,110087,146,968
01-04-2025,Rajasthan,Sikar,332713,25,264
01-04-2025,Haryana,Gurgaon,122506,45,390
01-04-2025,Madhya Pradesh,Chhindwara,480001,484,1448
01-04-2025,Haryana,Rohtak,124401,21,91
01-04-2025,Delhi,South West Delhi,110037,489,1984
01-04-2025,Madhya Pradesh,Indore,452002,182,1208
01-04-2025,Jammu and Kashmir,Udhampur,182101,49,432
01-04-2025,Madhya Pradesh,Jabalpur,482003,152,1382
01-04-2025,Tamil Nadu,Vellore,632001,74,644
01-04-2025,Andhra Pradesh,Kurnool,518468,41,228
01-04-2025,Delhi,North West Delhi,110033,476,5066
01-04-2025,Madhya Pradesh,Raisen,462046,111,428
01-04-2025,Telangana,K.v. Rangareddy,500019,108,610
01-04-2025,Andhra Pradesh,Guntur,522001,120,1036
01-04-2025,Uttar Pradesh,Saharanpur,247001,753,6540
01-04-2025,Chhattisgarh,Bemetara,491335,135,1607
01-04-2025,Haryana,Ambala,134007,21,150
01-04-2025,Delhi,North West Delhi,110036,249,1268
01-04-2025,Andhra Pradesh,Visakhapatnam,530017,113,757
01-04-2025,Jammu and Kashmir,Ramban,182144,144,481
01-04-2025,Rajasthan,Dholpur,328021,227,1222
01-04-2025,Andhra Pradesh,West Godavari,534260,117,675
01-04-2025,Haryana,Mahendragarh,123027,95,420
01-04-2025,Madhya Pradesh,Chhindwara,480559,124,554
01-04-2025,Haryana,Karnal,132023,18,112
01-04-2025,Rajasthan,Hanumangarh,335524,200,1464
01-04-2025,Rajasthan,Jaipur,302006,74,669
01-04-2025,Madhya Pradesh,Damoh,470664,78,479
01-04-2025,Madhya Pradesh,Ratlam,457001,338,2462
01-04-2025,Karnataka,Chikkaballapur,562105,67,612
01-04-2025,Karnataka,Haveri,581110,126,523
01-04-2025,Madhya Pradesh,Mandsaur,458001,179,415
01-04-2025,Haryana,Gurgaon,122101,135,918
01-04-2025,Karnataka,Bengaluru,560064,157,1410
01-04-2025,Uttar Pradesh,Kanpur Nagar,208021,183,2281
01-04-2025,Uttarakhand,Dehradun,248198,57,511
01-04-2025,Maharashtra,Pune,411028,171,1433
01-04-2025,Mizoram,Kolasib,796081,95,400
01-04-2025,Bihar,Katihar,855113,637,4362
01-04-2025,Andhra Pradesh,West Godavari,534217,24,225
01-04-2025,Jammu and Kashmir,Kathua,184204,62,439
01-04-2025,Rajasthan,Bikaner,334803,265,1277
01-04-2025,Chhattisgarh,Durg,490020,41,227
01-04-2025,West Bengal,Murshidabad,742135,131,1409
01-04-2025,Tamil Nadu,Tiruchirappalli,621314,15,375
01-04-2025,Uttar Pradesh,Ghaziabad,201001,521,4047
01-04-2025,Tamil Nadu,Tiruchirappalli,620003,29,357
01-04-2025,Madhya Pradesh,Bhopal,462030,49,433
01-04-2025,Andhra Pradesh,Kurnool,518360,188,1116
01-04-2025,Rajasthan,Jaipur,302012,610,4263
01-04-2025,Rajasthan,Jaipur,302021,110,940
01-04-2025,Karnataka,Chitradurga,577501,99,550
01-04-2025,Haryana,Gurgaon,122505,154,1006
01-04-2025,Uttarakhand,Dehradun,248142,58,677
01-04-2025,Madhya Pradesh,Indore,453771,88,713
01-04-2025,Jammu and Kashmir,Bandipore,193502,190,1414
01-04-2025,Haryana,Panipat,132103,952,5630
01-04-2025,Jammu and Kashmir,Anantnag,192201,111,556
01-04-2025,Bihar,Bhagalpur,812005,465,2186
01-04-2025,Haryana,Panipat,132113,37,246
01-04-2025,Haryana,Rewari,123411,60,322
01-04-2025,Jammu and Kashmir,Kupwara,193224,698,3103
01-04-2025,Madhya Pradesh,Seoni,480661,454,1576
01-04-2025,Madhya Pradesh,Rewa,486445,89,666
01-04-2025,Madhya Pradesh,Morena,476001,525,2785
01-04-2025,Haryana,Rewari,123106,89,569
01-04-2025,Madhya Pradesh,Balaghat,481116,38,149
01-04-2025,Delhi,Central Delhi,110008,408,3192
01-04-2025,Punjab,Gurdaspur,143521,49,860
01-04-2025,Gujarat,Rajkot,360002,152,2256
01-04-2025,Maharashtra,Pune,411014,155,1295
01-04-2025,Delhi,East Delhi,110092,1132,6242
01-04-2025,Uttar Pradesh,Gautam Buddha Nagar,201304,172,1442
01-04-2025,Haryana,Kaithal,136042,16,118
01-04-2025,Maharashtra,Mumbai City,400037,137,1305
01-04-2025,Karnataka,Bangalore Rural,562114,96,772
01-04-2025,Tamil Nadu,Kancheepuram,600048,61,746
01-04-2025,Chhattisgarh,Korba,495674,34,909
01-04-2025,Delhi,South Delhi,110044,1333,6949
01-04-2025,Tamil Nadu,Tiruvallur,601204,55,516
01-04-2025,Uttar Pradesh,Bulandshahr,203001,466,2889
01-04-2025,Maharashtra,Mumbai Suburban,400104,96,1162
01-04-2025,Delhi,South West Delhi,110071,166,968
01-04-2025,Tamil Nadu,Karur,639006,50,382
01-04-2025,Karnataka,Tumakuru,572201,54,329
01-04-2025,Karnataka,Dharwad,580020,66,449
01-04-2025,Delhi,North East Delhi,110093,874,2849
01-04-2025,Uttar Pradesh,Ghaziabad,201102,524,5709
01-04-2025,Telangana,Hyderabad,500053,223,1573
01-04-2025,Madhya Pradesh,Singrauli,486886,567,2265
01-04-2025,Chandigarh,Chandigarh,160019,123,417
01-04-2025,Uttar Pradesh,Shamli,247776,322,2620
01-04-2025,Chhattisgarh,Surguja,497116,166,1202
01-04-2025,Madhya Pradesh,Balaghat,481449,225,635
01-04-2025,Madhya Pradesh,Damoh,470880,192,1461
01-04-2025,Rajasthan,Jaipur,302029,366,1854
01-04-2025,Tamil Nadu,Kancheepuram,631502,120,954
01-04-2025,Delhi,North West Delhi,110088,192,1667
01-04-2025,Haryana,Panchkula,134113,235,630
01-04-2025,Rajasthan,Jaipur,302001,42,646
01-04-2025,Tamil Nadu,Chennai,600083,23,400
01-04-2025,Karnataka,Koppal,583277,99,500
01-04-2025,Tamil Nadu,Tiruppur,641603,87,751
01-04-2025,Madhya Pradesh,Balaghat,481111,63,342
01-04-2025,Madhya Pradesh,Mandla,481998,92,332
01-04-2025,Uttar Pradesh,Baghpat,250611,366,2361
01-04-2025,Rajasthan,Tonk,304001,377,1902
01-04-2025,Tamil Nadu,Chennai,600078,62,687
01-04-2025,Haryana,Panipat,132107,50,258
01-04-2025,Haryana,Kurukshetra,136119,65,400
01-04-2025,Tamil Nadu,Madurai,625014,71,672
01-04-2025,Madhya Pradesh,Balaghat,481332,57,189
01-04-2025,Madhya Pradesh,Mandsaur,458990,102,338
01-04-2025,Maharashtra,Pune,411044,50,559
01-04-2025,Rajasthan,Hanumangarh,335513,80,519
01-04-2025,Karnataka,Davangere,577001,99,510
01-04-2025,Tamil Nadu,Tiruppur,641605,84,589
01-04-2025,Tamil Nadu,Erode,638476,23,365
01-04-2025,Madhya Pradesh,Chhindwara,480115,277,630
01-04-2025,Himachal Pradesh,Hamirpur,177001,14,174
01-04-2025,Rajasthan,Jhunjhunun,333042,65,564
01-04-2025,Karnataka,Kalaburagi,585301,54,220
01-04-2025,Karnataka,Dakshina Kannada,574231,81,252
01-04-2025,Rajasthan,Hanumangarh,335512,89,1080
01-04-2025,Haryana,Sonipat,131029,66,297
01-04-2025,Delhi,West Delhi,110063,209,1922
01-04-2025,Haryana,Bhiwani,127031,25,138
01-04-2025,Haryana,Gurgaon,122002,135,1020
01-04-2025,Maharashtra,Beed,431122,232,2441
01-04-2025,Madhya Pradesh,Raisen,464668,92,587
01-04-2025,Rajasthan,Sikar,332301,69,868
01-04-2025,Gujarat,Ahmedabad,382350,307,2470
01-04-2025,Jammu and Kashmir,Kupwara,193225,103,554
01-04-2025,Haryana,Sirsa,125076,34,195
01-04-2025,Madhya Pradesh,Dhar,454552,193,784
01-04-2025,Maharashtra,Gondiya,441614,97,474
01-04-2025,Haryana,Yamuna Nagar,135002,36,224
01-04-2025,Delhi,North West Delhi,110034,642,3945
01-04-2025,Madhya Pradesh,Bhopal,462003,83,624
01-04-2025,Madhya Pradesh,Barwani,451551,415,3230
01-04-2025,Rajasthan,Tonk,304021,69,795
01-04-2025,Uttarakhand,Haridwar,249407,148,1142
01-04-2025,Karnataka,Chikkaballapur,563125,130,828
01-04-2025,Rajasthan,Jodhpur,342006,42,472
01-04-2025,Madhya Pradesh,Mandla,481996,261,744
01-04-2025,Haryana,Jind,126102,258,1441
01-04-2025,Maharashtra,Pune,411046,119,1160
