date,state,district,pincode,bio_age_5_17,bio_age_17_
01-06-2025,Uttar Pradesh,Bijnor,246732,661,153
01-06-2025,Gujarat,Anand,387380,58,57
01-06-2025,Uttar Pradesh,Shrawasti,271835,191,138
01-06-2025,Gujarat,Botad,364750,182,71
01-06-2025,Rajasthan,Karauli,322215,103,92
01-06-2025,Uttar Pradesh,Shrawasti,271801,410,206
01-06-2025,Tamil Nadu,Virudhunagar,626142,45,83
01-06-2025,Tamil Nadu,Theni,625203,43,70
01-06-2025,Karnataka,Dharwad,580011,66,57
01-06-2025,Chhattisgarh,Koriya,497447,16,63
01-06-2025,Jharkhand,Garhwa *,822114,44,407
01-06-2025,Odisha,Khorda,752020,89,115
01-06-2025,Telangana,K.v. Rangareddy,501509,211,324
01-06-2025,Assam,Sonitpur,784171,28,16
01-06-2025,Rajasthan,Dausa,303507,120,160
01-06-2025,Madhya Pradesh,Hoshangabad,461668,371,266
01-06-2025,Tamil Nadu,Kancheepuram,600116,29,43
01-06-2025,Odisha,Kandhamal,762019,43,57
01-06-2025,Andhra Pradesh,Annamayya,516108,19,12
01-06-2025,Andhra Pradesh,Sri Sathya Sai,515305,21,13
01-06-2025,Maharashtra,Mumbai Suburban,400078,348,247
01-06-2025,Bihar,Gaya,823001,455,710
01-06-2025,Rajasthan,Jaipur,302006,203,542
01-06-2025,Rajasthan,Rajsamand,313206,12,18
01-06-2025,West Bengal,Jalpaiguri,736182,40,70
01-06-2025,Maharashtra,Mumbai,400081,63,188
01-06-2025,Andhra Pradesh,Hyderabad,500036,67,269
01-06-2025,Gujarat,Kachchh,370660,57,33
01-06-2025,Bihar,Khagaria,851212,195,222
01-06-2025,Bihar,Katihar,854108,485,594
01-06-2025,Gujarat,Sabarkantha,383205,411,393
01-06-2025,Gujarat,Ahmedabad,380006,61,159
01-06-2025,Andhra Pradesh,Nizamabad,503123,21,14
01-06-2025,Uttar Pradesh,Ballia,221711,442,299
01-06-2025,Punjab,Rupnagar,140119,92,182
01-06-2025,Gujarat,Surat,394445,234,235
01-06-2025,Uttarakhand,Haridwar,249401,118,156
01-06-2025,Andhra Pradesh,Medak,502319,46,53
01-06-2025,Karnataka,Bijapur,586111,80,66
01-06-2025,Odisha,Jharsuguda,768220,75,78
01-06-2025,Odisha,Ganjam,761141,64,73
01-06-2025,Rajasthan,Nagaur,341319,82,112
01-06-2025,Karnataka,Davangere,583127,42,39
01-06-2025,Tamil Nadu,Tiruchirappalli,621009,86,115
01-06-2025,West Bengal,Haora,711403,10,83
01-06-2025,Punjab,Ludhiana,141102,31,70
01-06-2025,Tamil Nadu,Thanjavur,612201,17,19
01-06-2025,Andhra Pradesh,Krishna,521246,51,26
01-06-2025,Andhra Pradesh,Krishna,521162,60,26
01-06-2025,Jharkhand,East Singhbhum,832302,260,328
01-06-2025,Delhi,North Delhi,110007,587,1005
01-06-2025,Kerala,Pathanamthitta,689673,39,98
01-06-2025,Telangana,Mahabubnagar,509126,124,62
01-06-2025,Rajasthan,Chittorgarh,312205,102,92
01-06-2025,Uttar Pradesh,Shahjahanpur,242303,399,142
01-06-2025,Bihar,Jehanabad,804422,228,211
01-06-2025,Uttar Pradesh,Azamgarh,276204,184,294
01-06-2025,Uttar Pradesh,Chandauli,232107,100,80
01-06-2025,Jammu and Kashmir,Srinagar,190015,150,281
01-06-2025,Rajasthan,Kota,324006,151,204
01-06-2025,Odisha,Ganjam,761140,116,106
01-06-2025,Tamil Nadu,Cuddalore,608201,101,151
01-06-2025,Telangana,Siddipet,505467,28,33
01-06-2025,Maharashtra,Raigarh,402203,108,218
01-06-2025,Bihar,Rohtas,821108,143,156
01-06-2025,Himachal Pradesh,Una,174314,19,40
01-06-2025,Tamil Nadu,Erode,638056,65,141
01-06-2025,Tamil Nadu,Kancheepuram,631601,78,161
01-06-2025,Kerala,Alappuzha,688005,96,118
01-06-2025,Assam,Dhubri,783127,55,42
01-06-2025,West Bengal,Howrah,712408,10,17
01-06-2025,Madhya Pradesh,Dhar,454129,21,22
01-06-2025,Kerala,Thrissur,680502,32,67
01-06-2025,Karnataka,Bengaluru,560006,22,31
01-06-2025,Rajasthan,Nagaur,341024,117,170
01-06-2025,Telangana,Hyderabad,500082,84,100
01-06-2025,West Bengal,Uttar Dinajpur,733129,352,289
01-06-2025,Tamil Nadu,Kanniyakumari,629168,39,86
01-06-2025,Uttar Pradesh,Lucknow,226020,627,453
01-06-2025,Uttar Pradesh,Amethi,228159,173,101
01-06-2025,Chhattisgarh,Gariyaband,493891,93,227
01-06-2025,Jharkhand,Koderma,825132,246,596
01-06-2025,Uttar Pradesh,Azamgarh,223223,196,197
01-06-2025,Uttar Pradesh,Mahoba,210427,735,439
01-06-2025,Punjab,Jalandhar,144201,185,317
01-06-2025,Karnataka,Vijayapura,586113,209,92
01-06-2025,Andhra Pradesh,Chittoor,517507,343,197
01-06-2025,Rajasthan,Jaipur,303012,145,262
01-06-2025,Andhra Pradesh,Bapatla,522261,23,11
01-06-2025,Tamil Nadu,Vellore,635601,120,239
01-06-2025,Andhra Pradesh,East Godavari,533107,370,134
01-06-2025,Madhya Pradesh,Bhind,477227,215,62
01-06-2025,Jharkhand,Dhanbad,828105,25,73
01-06-2025,Tamil Nadu,Thanjavur,614202,38,88
01-06-2025,Madhya Pradesh,Bhind,477660,476,214
01-06-2025,Bihar,Samastipur,848111,22,17
01-06-2025,Rajasthan,Jodhpur,342303,452,351
01-06-2025,Assam,Jorhat,785008,17,17
01-06-2025,Telangana,Warangal Urban,506001,68,46
01-06-2025,West Bengal,Darjeeling,734201,52,156
01-06-2025,Karnataka,Hassan,573131,112,77
01-06-2025,Uttar Pradesh,Ghaziabad,245205,67,37
01-06-2025,Maharashtra,Ratnagiri,415629,50,52
01-06-2025,Kerala,Palakkad,679512,39,53
01-06-2025,Kerala,Palakkad,678722,18,45
01-06-2025,Orissa,Bhadrak,756131,11,10
01-06-2025,Nagaland,Phek,797108,12,81
01-06-2025,Tamil Nadu,The Nilgiris,643203,27,25
01-06-2025,Goa,South Goa,403709,46,52
01-06-2025,Jammu and Kashmir,Jammu,185153,26,36
01-06-2025,Punjab,Bathinda,151509,315,519
01-06-2025,Uttar Pradesh,Lalitpur,284124,256,143
01-06-2025,Bihar,East Champaran,845413,149,165
01-06-2025,Telangana,Bhadradri Kothagudem,507306,60,36
01-06-2025,Odisha,Dhenkanal,759016,262,478
01-06-2025,Karnataka,Hassan,573201,319,373
01-06-2025,Gujarat,Kachchh,370240,174,171
01-06-2025,West Bengal,Paschim Medinipur,721260,88,96
01-06-2025,Rajasthan,Jodhpur,342901,249,183
01-06-2025,Tamil Nadu,Virudhunagar,626117,263,463
01-06-2025,Kerala,Alappuzha,690507,39,71
01-06-2025,Maharashtra,Jalgaon,424209,101,278
01-06-2025,Rajasthan,Jaipur,302039,291,458
01-06-2025,Kerala,Alappuzha,689504,17,53
01-06-2025,Assam,Karimganj,788719,47,22
01-06-2025,Tamil Nadu,Viluppuram,604102,17,82
01-06-2025,Jharkhand,East Singhbhum,831017,142,198
01-06-2025,Rajasthan,Bikaner,334303,73,143
01-06-2025,Karnataka,Hassan,573142,35,22
01-06-2025,Tamil Nadu,Perambalur,621109,171,128
01-06-2025,Odisha,Sundergarh,770013,54,31
01-06-2025,Kerala,Thrissur,680562,62,101
01-06-2025,Telangana,Siddipet,505466,29,23
01-06-2025,Gujarat,Bharuch,392240,42,52
01-06-2025,Telangana,Karimnagar,505529,91,52
01-06-2025,Karnataka,Belgaum,591115,114,117
01-06-2025,Andhra Pradesh,Adilabad,504346,24,73
01-06-2025,Uttar Pradesh,Ballia,221709,104,70
01-06-2025,Madhya Pradesh,Betul,460225,492,549
01-06-2025,Bihar,Samastipur,848209,536,437
01-06-2025,Madhya Pradesh,East Nimar,450001,332,826
01-06-2025,Maharashtra,Pune,411009,312,583
01-06-2025,Bihar,Muzaffarpur,843119,481,577
01-06-2025,Uttar Pradesh,Kushinagar,274305,299,390
01-06-2025,Uttar Pradesh,Fatehpur,212661,248,154
01-06-2025,Andhra Pradesh,Kurnool,518396,206,111
01-06-2025,Uttar Pradesh,Jaunpur,222142,383,226
01-06-2025,Karnataka,Bangalore,560084,93,358
01-06-2025,Assam,Tinsukia,786190,24,10
01-06-2025,Madhya Pradesh,Alirajpur,457882,1025,987
01-06-2025,Rajasthan,Banswara,327604,159,128
01-06-2025,Gujarat,Junagadh,362510,75,267
01-06-2025,Maharashtra,Mumbai City,400030,47,37
01-06-2025,Tamil Nadu,Thiruvarur,614101,77,95
01-06-2025,Andhra Pradesh,West Godavari,507135,27,31
01-06-2025,Gujarat,Surat,395017,203,385
01-06-2025,West Bengal,Paschim Medinipur,721501,157,121
01-06-2025,Uttar Pradesh,Mahoba,210423,311,219
01-06-2025,Tamil Nadu,Tirunelveli,627809,100,211
01-06-2025,Andhra Pradesh,Cuddapah,516217,271,97
01-06-2025,Maharashtra,Osmanabad,413504,480,826
01-06-2025,Tamil Nadu,Thanjavur,612602,70,163
01-06-2025,Tamil Nadu,Salem,636308,104,144
01-06-2025,Gujarat,Valsad,396120,57,73
01-06-2025,Karnataka,Chickmagalur,577134,29,80
01-06-2025,Maharashtra,Satara,415207,56,81
01-06-2025,Gujarat,Surat,394125,39,33
01-06-2025,Andhra Pradesh,Ananthapuramu,515611,81,22
01-06-2025,Gujarat,Devbhumi Dwarka,361345,131,28
01-06-2025,Rajasthan,Ganganagar,335037,54,94
01-06-2025,Karnataka,Bangalore,560075,29,139
01-06-2025,Kerala,Thrissur,680702,59,54
01-06-2025,Kerala,Kozhikode,673633,57,92
01-06-2025,Maharashtra,Amravati,444809,111,318
01-06-2025,Tamil Nadu,Sivaganga,630306,17,20
01-06-2025,Rajasthan,Dungarpur,314011,172,137
01-06-2025,Tamil Nadu,Dindigul,624401,399,724
01-06-2025,Uttar Pradesh,Kannauj,209722,641,295
01-06-2025,Madhya Pradesh,Ratlam,457118,1234,590
01-06-2025,Uttar Pradesh,Bulandshahr,202399,217,35
01-06-2025,Odisha,Mayurbhanj,757077,192,115
01-06-2025,Rajasthan,Ajmer,305202,106,124
01-06-2025,Tamil Nadu,Kancheepuram,601301,219,480
01-06-2025,Andhra Pradesh,West Godavari,534111,85,39
01-06-2025,Jharkhand,Gumla,835324,340,436
01-06-2025,Uttar Pradesh,Deoria,274509,248,263
01-06-2025,Kerala,Malappuram,679575,77,92
01-06-2025,Bihar,Purnia,854326,1114,687
01-06-2025,Andhra Pradesh,Nellore,524305,337,243
01-06-2025,West Bengal,Nadia,741139,12,40
01-06-2025,Maharashtra,Satara,415004,148,186
01-06-2025,Bihar,West Champaran,845103,265,265
01-06-2025,Jharkhand,Sahebganj,813208,320,191
01-06-2025,Telangana,Karimnagar,505405,96,68
01-06-2025,Tamil Nadu,Kancheepuram,603209,66,107
01-06-2025,Rajasthan,Jhunjhunun,333027,41,67
01-06-2025,Tamil Nadu,Kancheepuram,631604,71,76
01-06-2025,Gujarat,Panchmahals,389220,92,262
01-06-2025,Kerala,Palakkad,679521,32,66
01-06-2025,Tamil Nadu,Tiruchirappalli,621011,75,63
01-06-2025,West Bengal,South Twenty Four Parganas,700150,42,109
01-06-2025,Jharkhand,Hazaribagh,825303,68,53
01-06-2025,Karnataka,Mysuru,570018,34,41
01-06-2025,Jharkhand,Godda,816102,23,28
01-06-2025,Kerala,Palakkad,679313,59,117
01-06-2025,Bihar,Siwan,841244,103,114
01-06-2025,Andhra Pradesh,Eluru,534005,26,12
01-06-2025,West Bengal,East Midnapore,721425,21,35
01-06-2025,Tamil Nadu,Tiruvannamalai,604403,63,84
01-06-2025,Punjab,Kapurthala,144625,32,52
01-06-2025,Madhya Pradesh,Chhindwara,480115,479,337
01-06-2025,Uttar Pradesh,Bahraich,271904,247,114
01-06-2025,Bihar,Muzaffarpur,842004,224,269
01-06-2025,Punjab,Faridkot,151204,449,625
01-06-2025,Rajasthan,Jaipur,303348,127,135
01-06-2025,Uttar Pradesh,Gautam Buddha Nagar,203201,370,164
01-06-2025,Telangana,Hyderabad,500028,485,471
01-06-2025,Maharashtra,Parbhani,431505,356,757
01-06-2025,Gujarat,Vadodara,390010,136,244
01-06-2025,West Bengal,Howrah,711416,14,28
01-06-2025,Kerala,Palakkad,679535,92,236
01-06-2025,Chhattisgarh,Uttar Bastar Kanker,494635,28,113
01-06-2025,Madhya Pradesh,Betul,461441,179,321
01-06-2025,Uttar Pradesh,Allahabad,211010,91,57
01-06-2025,Karnataka,Mysuru,571311,56,51
01-06-2025,Tamil Nadu,Pudukkottai,614630,103,195
01-06-2025,West Bengal,Purba Bardhaman,713422,30,94
01-06-2025,Tamil Nadu,Karur,639114,98,114
01-06-2025,Uttar Pradesh,Mathura,281206,65,53
01-06-2025,Maharashtra,Aurangabad,423703,131,364
01-06-2025,Assam,Sonitpur,784502,10,15
01-06-2025,Kerala,Kozhikode,673020,22,12
01-06-2025,Tamil Nadu,Thanjavur,612102,50,54
01-06-2025,Andhra Pradesh,Krishna,521225,119,85
01-06-2025,West Bengal,Nadia,741401,15,36
01-06-2025,Maharashtra,Amravati,444804,100,217
01-06-2025,Karnataka,Tumkur,572121,38,91
01-06-2025,Kerala,Palakkad,678533,16,38
01-06-2025,Andhra Pradesh,Warangal,506134,31,95
01-06-2025,Gujarat,Kachchh,370475,43,47
01-06-2025,Tamil Nadu,Thoothukkudi,628105,26,35
01-06-2025,Haryana,Panipat,132105,63,122
01-06-2025,Tamil Nadu,Virudhunagar,626126,37,51
01-06-2025,West Bengal,Kalimpong,734301,27,36
01-06-2025,Tamil Nadu,Kanniyakumari,629164,36,65
01-06-2025,West Bengal,Bankura,722147,15,16
01-06-2025,Maharashtra,Sindhudurg,416524,13,27
01-06-2025,Delhi,North East,110094,75,1901
01-06-2025,Bihar,Patna,803214,215,204
01-06-2025,West Bengal,Paschim Medinipur,721503,75,82
01-06-2025,Uttar Pradesh,Sambhal,244242,82,25
01-06-2025,Odisha,Rayagada,765019,618,325
01-06-2025,West Bengal,Birbhum,731243,113,141
01-06-2025,Assam,Tinsukia,786158,45,46
01-06-2025,Bihar,Katihar,854317,1659,1701
01-06-2025,Madhya Pradesh,Jabalpur,483220,680,319
01-06-2025,Odisha,Puri,752046,36,81
01-06-2025,Uttar Pradesh,Jaunpur,222136,372,236
01-06-2025,Chhattisgarh,Raipur,492011,57,154
01-06-2025,Kerala,Thrissur,680721,101,130
01-06-2025,Karnataka,Kalaburagi,585302,294,167
01-06-2025,Arunachal Pradesh,Tawang,790105,31,24
01-06-2025,Gujarat,Porbandar,360577,16,20
01-06-2025,Odisha,Baleswar,756079,44,64
01-06-2025,Telangana,Khammam,507165,199,95
01-06-2025,Karnataka,Chitradurga,577554,39,33
01-06-2025,Kerala,Malappuram,679576,185,199
01-06-2025,Maharashtra,Pune,412312,32,25
01-06-2025,Odisha,Jharsuguda,768233,20,21
01-06-2025,Uttar Pradesh,Sonbhadra,231206,92,35
01-06-2025,Telangana,Adilabad,504296,201,63
01-06-2025,Haryana,Yamuna Nagar,133103,162,417
01-06-2025,West Bengal,North 24 Parganas,700114,34,83
01-06-2025,Maharashtra,Solapur,413309,275,436
01-06-2025,Telangana,Karimnagar,505162,73,218
01-06-2025,Tamil Nadu,The Nilgiris,643102,75,107
01-06-2025,West Bengal,Barddhaman,713428,90,72
01-06-2025,Himachal Pradesh,Kangra,176219,20,26
01-06-2025,Odisha,Mayurbhanj,757017,59,109
01-06-2025,Kerala,Thrissur,680686,62,53
01-06-2025,Rajasthan,Nagaur,341542,28,53
01-06-2025,Chhattisgarh,Kanker,494230,15,85
01-06-2025,Tamil Nadu,Vellore,632059,29,21
01-06-2025,Madhya Pradesh,Neemuch,458470,22,33
01-06-2025,Arunachal Pradesh,Changlang,792056,156,106
01-06-2025,Maharashtra,Satara,412801,154,206
01-06-2025,Maharashtra,Latur,413519,298,608
01-06-2025,Madhya Pradesh,Khargone,451331,1119,1133
01-06-2025,Maharashtra,Gondiya,441916,234,378
01-06-2025,Assam,Chirang,783375,481,115
01-06-2025,West Bengal,Malda,732207,145,249
01-06-2025,Rajasthan,Barmer,344701,708,535
01-06-2025,Nagaland,Chumukedima,797115,11,32
01-06-2025,Karnataka,Shimoga,577432,15,46
01-06-2025,Karnataka,Dharwad,580112,94,105
01-06-2025,Tamil Nadu,Salem,636452,62,70
01-06-2025,Andhra Pradesh,Prakasam,523115,144,61
01-06-2025,Assam,Sonitpur,784027,48,67
01-06-2025,Tamil Nadu,Madurai,625101,105,184
01-06-2025,Karnataka,Bangalore,560062,77,190
01-06-2025,Punjab,Malerkotla,148023,375,544
01-06-2025,Rajasthan,Bikaner,331811,222,262
01-06-2025,Rajasthan,Churu,331031,65,100
01-06-2025,Andhra Pradesh,Tirupati,517503,36,25
01-06-2025,Bihar,Buxar,802111,98,124
01-06-2025,Madhya Pradesh,East Nimar,450551,63,171
01-06-2025,Uttar Pradesh,Bhadohi,221308,20,26
01-06-2025,Andhra Pradesh,Parvathipuram Manyam,535591,82,43
01-06-2025,Uttar Pradesh,Bulandshahr,203395,23,19
01-06-2025,Chhattisgarh,ManendragarhChirmiriBharatpur,497449,19,101
01-06-2025,Karnataka,Hassan,573123,17,17
01-06-2025,Gujarat,Jamnagar,361142,17,13
01-06-2025,Delhi,North West Delhi,110056,21,42
01-06-2025,Kerala,Thrissur,680311,82,61
01-06-2025,Punjab,Pathankot,145029,27,50
01-06-2025,Arunachal Pradesh,Siang,791001,55,29
01-06-2025,Karnataka,Ballari,583126,42,17
01-06-2025,Madhya Pradesh,Shahdol,484110,1077,762
01-06-2025,Bihar,Madhubani,847224,262,311
01-06-2025,Bihar,Munger,811201,282,453
01-06-2025,Andhra Pradesh,Prakasam,523271,200,108
01-06-2025,Karnataka,Koppal,583238,395,253
01-06-2025,Kerala,Palakkad,678508,158,349
01-06-2025,Punjab,Fazilka,152132,212,169
01-06-2025,Karnataka,Bidar,585326,245,249
01-06-2025,Rajasthan,Bharatpur,321602,345,408
01-06-2025,Bihar,Araria,854335,272,291
01-06-2025,Bihar,Vaishali,844112,164,186
01-06-2025,Andhra Pradesh,Cuddapah,516150,184,96
01-06-2025,West Bengal,East Midnapore,721454,53,46
01-06-2025,Uttar Pradesh,Ghazipur,232332,116,86
01-06-2025,Maharashtra,Nandurbar,425415,449,515
01-06-2025,Bihar,Banka,813202,199,186
01-06-2025,Andhra Pradesh,Ananthapuramu,515241,111,12
01-06-2025,Andhra Pradesh,Adilabad,504205,37,66
01-06-2025,Maharashtra,Thane,421102,159,344
01-06-2025,Andhra Pradesh,Chittoor,517541,248,73
01-06-2025,Odisha,Ganjam,761143,91,120
01-06-2025,Daman & Diu,Daman,396220,12,19
